"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL478820";"";"None";"484.55";"0";"4.53";"16a";"CC(C)Cc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccn2c1Cc1ccccc1-c1ccccc1";"IC50";"'>'";"1600.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"1600.0"
"CHEMBL514692";"";"None";"519.58";"1";"2.80";"11c";"CCc1c(C(=O)C(N)=O)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cccc2n1Cc1ccccc1";"IC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"13.03";"0.25";"3.97";"4.92";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"170.0"
"CHEMBL1794916";"";"None";"620.78";"None";"None";"4 (cis/trans mixture)";"CCOC(=O)[C@@]1(Cc2ccccc2)S[C@@H](F)C(C)(C)C1=O.CCOC(=O)[C@@]1(Cc2ccccc2)S[C@H](F)C(C)(C)C1=O";"IC50";"'='";"0.2";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL818200";"Concentration required for in vitro inhibitory activity against human type II phospholipase A2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150013";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"0.2"
"CHEMBL479251";"";"None";"547.63";"1";"3.44";"11d";"CC(C)Cc1c(C(=O)C(N)=O)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cccc2n1Cc1ccccc1";"IC50";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"11.24";"0.22";"2.71";"4.47";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"700.0"
"CHEMBL148649";"";"None";"394.43";"0";"2.77";"12a";"CCc1c(C(=O)C(N)=O)c2c(OC(C)C(=O)O)cccc2n1Cc1ccccc1";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"17.55";"0.33";"4.15";"6.20";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"120.0"
"CHEMBL504813";"";"None";"408.45";"0";"3.02";"12b";"CC(C)Cc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"15.43";"0.29";"3.28";"5.65";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"500.0"
"CHEMBL515637";"";"None";"430.46";"0";"3.54";"12e";"CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cc3ccccc3c2n1Cc1ccccc1";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"18.94";"0.35";"4.61";"7.31";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"7.0"
"CHEMBL332993";"";"None";"456.50";"0";"3.89";"indoxam";"CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccn2c1Cc1ccccc1-c1ccccc1";"IC50";"'>'";"1300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"1300.0"
"CHEMBL446349";"";"None";"569.64";"1";"3.96";"11g";"CCc1c(C(=O)C(N)=O)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cc3ccccc3c2n1Cc1ccccc1";"IC50";"'='";"35.0";"nM";"7.46";"";"";"UO_0000065";"13.09";"0.25";"3.50";"5.42";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"35.0"
"CHEMBL506485";"";"None";"597.69";"1";"4.59";"11h";"CC(C)Cc1c(C(=O)C(N)=O)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cc3ccccc3c2n1Cc1ccccc1";"IC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"11.33";"0.22";"2.18";"4.92";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"170.0"
"CHEMBL1159972";"";"None";"457.53";"1";"5.13";"1";"CCCCCCCCOC[C@H](CP(=O)(O)OCCN)P(=O)(O)CCCCCCC";"IC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"12.73";"0.27";"0.69";"4.89";"0";"CHEMBL802918";"Compound was measured for the inhibitory activity against Secretory phospholipase A 2 (s-PLA2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151015";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"1.5"
"CHEMBL33440";"";"None";"364.38";"0";"4.73";"14a";"CCCCCCCCOP(=O)(O)c1cccc2ccc(C(=O)O)cc12";"IC50";"'>'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL802918";"Compound was measured for the inhibitory activity against Secretory phospholipase A 2 (s-PLA2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151015";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"200.0"
"CHEMBL31185";"";"None";"346.35";"0";"4.41";"2";"CCCCCCCOc1ccc(C(=O)O)cc1CC(=O)C(F)(F)F";"IC50";"'='";"1700.0";"nM";"5.77";"";"";"UO_0000065";"16.66";"0.33";"1.36";"9.07";"0";"CHEMBL802918";"Compound was measured for the inhibitory activity against Secretory phospholipase A 2 (s-PLA2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151015";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"1.7"
"CHEMBL463914";"MANOALIDE";"None";"416.56";"0";"4.86";"4";"CC1=C(CC/C(C)=C/CCC2=CC[C@H](C3=CC(=O)O[C@H]3O)O[C@H]2O)C(C)(C)CCC1";"IC50";"'='";"0.34";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL818200";"Concentration required for in vitro inhibitory activity against human type II phospholipase A2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150013";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"0.34"
